Author,Title,Source,URL,Category,Description,Published Status
"Okoli GN, Rabbani R, Copstein L, et al.",Remdesivir for coronavirus disease 2019 (COVID-19): a systematic review with meta-analysis and trial sequential analysis of randomized controlled trials,Infect Dis,https://pubmed.ncbi.nlm.nih.gov/33974479/,Candidate Therapeutics,To review the evidence on the treatment of COVID-19 with remdesivir.,published
"Mazza C, Girardi D, Odone A, et al ",Adoption and impact of digital contact tracing during COVID-19 pandemic: a systematic review,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=253662,,,development
"Choi S, Pokharel A, Cherng Ong KI, et al ",Characteristics and clinical outcomes of patients infected with SARS-CoV-2 variant of concern: a rapid and living systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=254745,,,development
"Qi X, Wang Y, Guangyu A",Clinical outcomes comparison between kidney transplantation and dialysis in patients with COVID-19: a systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=253924,,,development
"Alberti FF, Gossenheimer AN",Health care through telehealth for people living with HIV/AIDS during the Covid-19 pandemic: a systematic review,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=254602,,,development
"Sert H, Trabzon S, Ilhan P",Nigella Sativa (Black seed) in the prevention and treatment of COVID-19 and respiratory system diseases: systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=254480,,,development
"Jagoda T, Rathnayake S",Tele-rehabilitation interventions on people with dementia living in the community during the COVID-19 pandemic: a mixed-method systematic review,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=254565,,,development
"Vajda M, Szakó L, Hegyu P, Schandl K",Tenotomy or tenodesis of the long head of the biceps tendon (LHBT) in shoulder surgeries - a systematic review and meta-analysis of randomized controlled trials,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=244613,,,development
"Khoda TF, Abargoeui AS, Sadeghi M, et al ","The effectiveness of online psychological interventions on anxiety, stress, depression in infertile people: a systematic review and meta-analysis from randomized controlled trial",PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=223553,,,development
"Yeo G, Remus A, Leong QY, et al ",The role of mattering and self-hood in the psychological well-being of adolescents: a systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=248495,,,development
"Hessami K, Shamshirsaz A",Willingness of pregnant women for COVID-19 vaccination: a systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=254484,,,development
"Ahammed T, Anjum A, Rahman MM, et al.",Estimation of novel coronavirus (COVID?19) reproduction number and case fatality rate: A systematic review and meta?analysis,Health Sci Rep,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8093857/,Infection Control,To estimate the R0 and CFR of COVID-19 and assess whether the parameters vary in different regions of the world.,published
"Martimbianco ALC, Pacheco RL, Bagattini AM, et al.","Frequency, signs and symptoms, and criteria adopted for long COVID: a systematic review",Int J Clin Pract,https://pubmed.ncbi.nlm.nih.gov/33977626/,Clinical Characteristics,"To identify, systematically evaluate and summarise the best available evidence on the frequency of long COVID (post-acute COVID-19 syndrome), its clinical manifestations and the criteria used for diagnosis.",published
"Kang S, Gong X, Yuan Y",Association of smoking and cardiovascular disease with disease progression in COVID-19: A systematic review and meta-analysis,Epidemiol Infect,https://pubmed.ncbi.nlm.nih.gov/33975666/,Clinical Characteristics,To systematically assess the association between smoking and cardiovascular disease and disease progression among novel coronavirus pneumonia (COVID-19) cases.,published
"Verma SK, Mohan S, Singh N, et al ",A systemic review and meta-analysis on the efficacy and safety of steam inhalation in the treatment and prevention of COVID-19.,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=253890,,,development
"Whitehall J, Cook E, ",Barriers and facilitators for remote engagement with health interventions targeting weight management for individuals living with excess weight,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=253439,,,development
"Saragih ID, Batubara SO",Effects of digital health interventions for the secondary stoke prevention during COVID-19 pandemic: a systematic review and meta-analysis of randomized controlled trial,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=254522,,,development
"Kim MS, Park S",Impact of obesity on renal and genitourinary outcomes: an umbrella review of systematic reviews and meta-analyses,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=244692,,,development
"Magalhães F, Lopes G, Silva M, et al",Neonatal and placental characteristics of mothers positive for SARS-CoV-2: a systematic review,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=248250,,,development
"Zhu H, Yang X, Xie S, et al ",Prevalence of mental health problems and burnout among medical staff during the COVID-19 pandemic: a meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=254425,,,development
"Tong J, Liu W","Prevalence stress, depression and anxiety among global health care staffs during the COVID-19 pandemic: A systematic review and meta-analysis",PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=253821,,,development
"Azam M, Bahrudin U, Ratnawati M, et al ",Risk factors of COVID-19 mortality in the elderly; a systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=254573,,,development
"Tarhan G, Orsal O, Duru P",The effect of tele-health intervention management of anxiety in the COVID-19 pandemic: systematic review,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=251138,,,development
"Lu L, Shu-wen Y, Jung X",The effectiveness of internet-based psychological interventions on perinatal depression: a systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=248349,,,development
"Idzerda L, Gariepy G, Belcourt V, et al ",The prevalence of household food insecurity in Canada during the COVID-19 pandemic and mitigation strategies to reduce it: a systematic review,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=254450,,,development
"Patel K, Guo K, McGregor S, et al ",The use and effectiveness of teledentistry during the COVID-19 pandemic: a systematic review,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=254233,,,development
"Round T, L'Esperance V, Bayly J, et al.",COVID-19 and the multidisciplinary care of patients with lung cancer: an evidence-based review and commentary,Br J Cancer,https://pubmed.ncbi.nlm.nih.gov/33972746/,Clinical Characteristics,To review the evidence on delivering lung cancer care during the COVID-19 pandemic.,published
"Azene AG, Workie MS, Aragaw AM","Knowledge, attitude, and prevention practice towards Covid-19 in Ethiopia: systematic review and Meta-analysis",Curr Ther Res Clin Exp,https://pubmed.ncbi.nlm.nih.gov/33972804/,Infection Control,"To assess the pooled status of knowledge, attitude, and prevention practices regarding COVID -19 in Ethiopia.",published
"Lin Z, Chen J, Han S",Impact of anti-cancer therapy on disease severity and mortality in cancer patients with COVID-19: a systematic review and meta-analysis,Expert Rev Anticancer Ther,https://pubmed.ncbi.nlm.nih.gov/33970745/,,"To assess whether anti-cancer therapies such as surgery, chemotherapy, immunotherapy, and targeted therapy will increase the severity and mortality of cancer patients with COVID-19.",published
,Vaccine hesitancy,NSW Health COVID-19 Critical Intelligence Unit,https://aci.health.nsw.gov.au/__data/assets/pdf_file/0008/649169/Evidence-check-vaccine-hesitancy.pdf,,To review the evidence on vaccine hesitancy.,published
"Sun Y, Wu Y, Bonardi O. et al.",Comparison of Mental Health Symptoms prior to and during COVID-19: Evidence from a Living Systematic Review and Meta-analysis,medRxiv,https://www.medrxiv.org/content/10.1101/2021.05.10.21256920v1,,To compare mental health outcomes assessed during COVID-19 to outcomes prior to COVID-19 in the general population and other population groups.,preprint
"Adepu SK, Beyer F, Insan N, et al ",A systematic review of severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2) and reproductive outcomes among pregnant women with pre-existing diabetes,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=247603,,,development
"Sarkar PG, Kumar A",Comparative effectiveness of interventions for Covid-19: a network meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=254056,,,development
"Ling RR, Lim Sim JJ, Tan FL, et al ",Convalescent plasma in patients hospitalised with coronavirus disease 2019: a meta-analysis of reconstructed individual participant data from randomised controlled trials and propensity-score matched studies,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=253826,,,development
"Jansen D, Vervoort H, Dratva J, et al ",Effects of COVID-19 containment policies on mental and physical health outcomes among children and adolescents: a systematic review,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=242064,,,development
"Santos M, de Lima Barroso I, da Silva MAX, et al",Impacts on the mental health of health professionals during the pandemic situation,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=241088,,,development
"Alhassane D, Carlos-Bolumbu M, Galtier F",Relationship between vaccines effects and clinical studies characteristics: a meta-epidemiological study,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=244377,,,development
"Manheim D, Toomey D, Wiecek W, et al ",Risk outcomes and risk mitigation measures in human challenge trials: a systematic review,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=247218,,,development
"La Rochelle P, Chauny JM, Daoust R, et al ",Systematic review and meta-analysis of the use of D-dimer to diagnose pulmonary embolism in Covid-19 patients presenting at the emergengy department,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=238075,,,development
"Smith S, Sui Y, Carter B, et al ",The determinants and correlates of physical activity amidst the COVID-19 pandemic in healthy children and adolescents,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=244728,,,development
"Smith S, Sui Y, Carter B, et al",The determinants and correlates of physical activity amidst the COVID-19 pandemic in healthy older adults,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=244739,,,development
"Lim XY, Chan JCW, Tan TYC, et al.","Andrographis paniculata (Burm. F.) Wall. Ex Nees, Andrographolide, and Andrographolide Analogues as SARS-CoV-2 Antivirals? A Rapid Review",Natural Product Com,https://journals.sagepub.com/doi/10.1177/1934578X211016610,,"To collate and analyze the antiviral evidence for A. paniculata, andrographolide, and its analogs, specifically against SARS-CoV-2. ",published
"Chowdhury N, Khalid A, Turin TC",Understanding misinformation infodemic during public health emergencies due to large-scale disease outbreaks: a rapid review,Z Gesundh Wiss,https://pubmed.ncbi.nlm.nih.gov/33968601/,Infection Control,To quickly synthesize existing literature about misinformation during recent abrupt large-scale infectious disease outbreaks.,published
"Shorey SY, Ng ED, Chee CYI",Anxiety and depressive symptoms of women in the perinatal period during the COVID-19 pandemic: A systematic review and meta-analysis,Scand J Public Health,https://pubmed.ncbi.nlm.nih.gov/33966511/,Mental Health,To examine the prevalence of antenatal and postnatal anxiety and depressive symptoms among pregnant women and postpartum mothers during the COVID-19 period.,published
"Jaffe TA, Hayden E, Uscher-Pines L, et al.",Telehealth use in emergency care during coronavirus disease 2019: a systematic review,J Am Coll Emerg Physicians Open,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8087945/,Infection Control,To describe the landscape of telehealth initiatives in emergency care that have been described during the coronavirus disease 2019 pandemic.,published
"Keshavarz P, Yazdanpanah F, Azhdari S, et al.",Coronavirus Disease 2019 (COVID-19): A Systematic Review of 133 Children Presented with Kawasaki-like Multisystem Inflammatory Syndrome,J Med Virol,https://pubmed.ncbi.nlm.nih.gov/33969513/,Clinical Characteristics,To demonstrate the relationship between severely ill cases of MIS-C and COVID-19.,published
"Rachel JB, Gururaj N, Smitha T, et al.",Innovative diagnostic approach and investigation trends in COVID19-A systematic review,J Oral Maxillofac Pathol,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8083432/,Diagnostics,"To understand study the strain variants, all possible modes of transmission, pathogenesis, and manifestations mentioned in predominant literature published during the pandemic.",published
"Zippi M, Fiorino S, Budriesi R, et al.",Paradoxical relationship between proton pump inhibitors and COVID-19: A systematic review and meta-analysis,World J Clin Cases,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8058681/,Clinical Characteristics,To identify studies on the relationship between the intake of PPIs and coronavirus disease 2019 (COVID-19) in patients affected by SARS-CoV-2 infection.,published
"Born J, Beymer D, Rajan D, et al.",On the Role of Artificial Intelligence in Medical Imaging of COVID-19,Patterns,https://pubmed.ncbi.nlm.nih.gov/33969323/,Diagnostics,To address the utility of AI in imaging for COVID-19 patient care.,published
"Las Casas Lima MH, Cavalcante ALB, Leão SC",Pathophysiological relationship between COVID-19 and olfactory dysfunction: A systematic review,Braz J Otorhinolaryngol,https://pubmed.ncbi.nlm.nih.gov/33965353/,Clinical Characteristics,To analyze current scientific evidence intended to elucidate the pathophysiological relationship between COVID-19 and the cause of olfactory disorders.,published
"Galanis P, Vraka I, Fragkou D, et al.",Impact of personal protective equipment use on health care workers' physical health during the COVID-19 pandemic: a systematic review and meta-analysis,Am J Infect Control,https://pubmed.ncbi.nlm.nih.gov/33965463/,Infection Control,To assess the impact of PPE use on HCWs' physical health and we examined factors related to a greater risk of adverse events due to PPE use.,published
"Oscanoa TJ, Amado J, Vidal X, et al.",The relationship between the severity and mortality of SARS-CoV-2 infection and 25-hydroxyvitamin D concentration - a metaanalysis,Adv Respir Med,https://pubmed.ncbi.nlm.nih.gov/33966262/,Clinical Characteristics,To conduct a metanalysis of the association between 25-hydroxyvitamin D (25(OH)D) concentration and SARS-CoV-2 infection severity or mortality.,published
"Wijaya I, Andhika R, Huang I, et al.",The use of Janus Kinase inhibitors in hospitalized patients with COVID-19: Systematic review and meta-analysis,Clin Epidemiol Glob Health,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8088409/,Candidate Therapeutics,"To assess the efficacy of JAK inhibitors in terms of clinical outcome, including mortality, clinical improvement, and clinical deterioration among hospitalized COVID-19 patients.",published
"Churchill R, Riadi I, Kervin L, et al.",Deciphering the Role of Physical Activity in Stress Management During A Global Pandemic in Older Adult Populations: A Systematic Review Protocol,Syst Rev,https://pubmed.ncbi.nlm.nih.gov/33962659/,,,development
"Turner S, Botero-Tovar N, Herrera MA, et al.",Systematic review of experiences and perceptions of key actors and organisations at multiple levels within health systems internationally in responding to COVID-19,Implement Sci,https://pubmed.ncbi.nlm.nih.gov/33962635/,Infection Control,To depict the experiences and perceptions of organisations and actors at multiple levels of health systems internationally in responding to COVID-19.,published
"Dong Y, Shamsuddin A, Campbell H, et al.",Current COVID-19 treatments: Rapid review of the literature,J Glob Health,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8068411/,Candidate Therapeutics,To describe existing SARS-CoV-2 therapeutic approaches and present the results of their current COVID-19 clinical trials.,published
"Kim H, Hwang H, Hong H, et al.",A systematic review and meta-analysis of regional risk factors for critical outcomes of COVID-19 during early phase of the pandemic,Sci Rep,https://pubmed.ncbi.nlm.nih.gov/33963250/,Clinical Characteristics,To review the differences in risk factors for critical outcomes of patients with COVID-19 according to the continent on which the studies were performed.,published
"Ghodsi A, Bijari M, Alamdaran SA, et al.",Chest computed tomography findings of COVID-19 in children younger than 1 year: a systematic review,World J Pediatr,https://pubmed.ncbi.nlm.nih.gov/33963512/,Clinical Characteristics,To evaluate the chest computed tomography (CT) findings in infants with confirmed COVID-19 infection,published
"Ippolito M, Catalisano G, Marino C, et al.",Mortality after In-Hospital Cardiac Arrest in Patients with COVID-19: A Systematic Review and Meta-Analysis,Resuscitation,https://pubmed.ncbi.nlm.nih.gov/33964332/,Clinical Characteristics,"To estimate the mortality rate, the rate of return of spontaneous circulation (ROSC) and survival with favorable neurological outcome in patients with COVID-19 after in-hospital cardiac arrest (IHCA) and attempted cardiopulmonary resuscitation (CPR).",published
"Saadatjoo S, Miri M, Hassanipour S, et al.","Knowledge, attitudes, and practices of the general population about Coronavirus disease 2019 (COVID-19): a systematic review and meta-analysis with policy recommendations",Public Health,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7988473/,Infection Control,"To investigate and synthesize the current evidence on knowledge, attitudes, and practices (KAPs) of the general population regarding COVID-19.",published
"Klassen SA, Senefeld JW, Johnson PW",The Effect of Convalescent Plasma Therapy on Mortality Among Patients With COVID-19: Systematic Review and Meta-analysis,Mayo Clin Proc,https://pubmed.ncbi.nlm.nih.gov/33958057/,Candidate Therapeutics,To determine the effect of COVID-19 convalescent plasma on mortality.,published
"Taha M, Samavati L",Antiphospholipid antibodies in COVID-19: a meta-analysis and systematic review,RMD Open,https://pubmed.ncbi.nlm.nih.gov/33958439/,Candidate Therapeutics,To examine the prevalence of aPL and its clinical impact in patients with COVID-19.,published
"Lazaridis D, Leung S, Kohler L, et al.",The Impact of Anticoagulation on COVID-19 (SARS CoV-2) Patient Outcomes: A Systematic Review,J Pharm Pract,https://pubmed.ncbi.nlm.nih.gov/33960219/,Candidate Therapeutics,To review the evidence on the impact of anticoagulation on COVID-19 patient outcomes.,published
"Menon T, Gandhi SAQ, Tariq W, et al.",Impact of Chronic Kidney Disease on Severity and Mortality in COVID-19 Patients: A Systematic Review and Meta-analysis,Cureus,https://pubmed.ncbi.nlm.nih.gov/33959457/,Clinical Characteristics,To provide an association between CKD and the clinical prognosis of COVID-19.,published
"Musuuza JS, Watson L, Parmasad V, et al.",Prevalence and outcomes of co-infection and superinfection with SARS-CoV-2 and other pathogens: A systematic review and meta-analysis,PLoS One,https://pubmed.ncbi.nlm.nih.gov/33956882/,Clinical Characteristics,To examine the occurrence of co-infections and superinfections and their outcomes among patients with SARS-CoV-2 infection.,published
,Association of Obesity with COVID-19 Severity and Mortality: A Systemic Review and Meta-Regression,medRxiv,https://www.medrxiv.org/content/10.1101/2021.05.08.21256845v1,,To estimate the association of obesity with severity (defined as use of invasive mechanical ventilation or intensive care unit admission) and all-cause mortality in coronavirus disease 2019 (COVID-19) patients.,preprint
"Pensel MC, Fink J","A systematic review on the impact of the SARS-CoV-II pandemic on stress disorders, dissociative disorders and somatoform disorders in adults.",PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=252293,,,development
"Shirvaliloo M, Sheervalilou R, Baghi HB",Accuracy of nanobiosensor-based molecular assays for diagnosis of COVID-19 compared to RT-PCR as a reference test: protocol for a systematic review,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=254021,,,development
"Dhanani J, Roberts J",Aerosolized drug therapy in the treatment of COVID-19 pneumonia,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=244801,,,development
"Mattiello R, Scarpatto C, Borba E, et al ",Association between body composition and phase angle with severity and mortality of patients with COVID-19,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=253809,,,development
"Ayerbe L, Forgnone I, Ayis S",Azithromycin in patients with Covid-19; a systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=252219,,,development
"Chrystoja B, Shield K, Rehm J, et al ",Changes in alcohol consumption during COVID-19 and previous pandemics: a systematic review,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=228813,,,development
"Jeddi SA, Rizi ZT, Bahadori T, et al ",COVID-19 associated mucormycosis (CAM): a Systematic Review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=251346,,,development
"Dahms K, Ansems K, Benstöm C, et al ",Early vs late tracheotomy in critically ill COVID-19 patients (part of German Ecosystem CEO-sys),PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=254132,,,development
"Ghashghaee A, Kan FP, Rafiei S, et al ",Global quality of life in people in COVID-19 pandemic: a systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=254010,,,development
"Acharya A, Iqbal F, Sounderajah V, et al ",Immunogenicity post COVID-19 vaccination: a systematic review,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=254144,,,development
"Feltham L, Galatis D, Banh HL, et al ",Inhaled adenoside in hospitalized COVID-19 patients: a meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=254047,,,development
"Hasan F, Budi HS",Oral rinses effects on reducing viral load on COVID-19: a systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=253915,,,development
"Khobragafe A, Agrawal N",Prevalence of insomnia and stress among health care workers in India during COVID-19 pandemic: A systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=253917,,,development
"Zhu J, Racine N, Eirich R, et al ",Prevalence of mental illness among post-secondary students since the emergence of COVID-19: a meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=253547,,,development
"Peter YTW, Juruena M, Young A","Psychological resilience, and its implications, in the general public during the COVID-19 pandemic: a systematic review.",PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=249629,,,development
"Liu N, Zhang T, Ma L, et al ",Risk factor of developing olfactory and gustatory dysfunction in covid-19 patients: a systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=253869,,,development
"Velickovic V, Sun S, Abdelaziz AB, et al ","Systematic assessment and network meta-analysis of efficacy, safety, and tolerability of vaccine candidates against COVID-19 in healthy individuals",PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=253867,,,development
"Smith S, Carter B, Prapavessis H, et al ",The determinants and correlates of physical activity amidst the COVID-19 pandemic in healthy adults.,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=244733,,,development
"Zhang L, Wang J, Feng G, et al",The efficacy and safety of COVID-19 vaccines: a systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=244261,,,development
"Schneider J, Craddock N, Forshaw M, et al ","The impact of COVID-19 on body image, eating disorders, and disordered eating behaviours: a systematic mixed studies review",PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=247921,,,development
"Alboksmaty A, Beany T, Neves AL, et al ",Using pulse oximetry in remote home monitoring of COVID-19 confirmed and presumptive patients: a systematic review,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=254171,,,development
"Schwendinger F, Pocecco E, Infanger D, et al",A systematic review and meta-analysis of observational studies examining the impact of COVID-19 safety measures on physical activity patterns in children and adolescents,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=253645,,,development
"Araujo C, Carvalho S, Vêncio E",Biomarkers in organic fluids in the progression of oral cancer - a systematic review,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=149828,,,development
"Prakash H, Kalaiselvi V, Chakravarthy P",Candida auris infection among COVID-19 patients: a systematic review of literature.,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=252484,,,development
"Galatis D, Banh HL, Cave A, et al",Covid-19 and inhaled corticosteroids: a meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=253582,,,development
"Ahenda P, Appiah B, Mutayoba B",Effect of digital interventions on mental disorders among older adults during the COVID-19 pandemic: A systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=253643,,,development
"Temeng E, Anstey S, Bundy C, et al ",Experience and coping strategies of nurses caring for patients with severe viral disease during an outbreak (pandemic/epidemic): a mixed-methods systematic review and narrative synthesis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=253378,,,development
"Sanfilippo F, Astuto M",Hemoadsorption techniques in patients with COVID-19: a systematic review,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=253676,,,development
"Bianco C, Guidet B, Flaatten H, et al ",Mortality of older patients admitted to intensive care units for a SARS-CoV-2 infection: a protocol for a systematic review,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=251984,,,development
"Ribeiro T, Herdeiro MT, Roque F, et al ","Outcomes and methods of COVID-19 studies using real-world data for drug effectiveness and safety, a systematic review",PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=253055,,,development
"Ribeiro T, Roque F, Herdeiro MT, et al","Outcomes and methods of COVID-19 studying vaccines effectiveness and safety in the real-world, a systematic review",PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=252412,,,development
"Morales-Cane I, del Rocío VL, López-Soto PJ",Sedoanalgesia in critical ill patients admitted in intensive care units: systematic review and network-meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=253554,,,development
"Suelves JM, Gomez-Zuñiga B, Armayones M",Systematic review of the impact of Covid-19 on tobacco smoking,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=252316,,,development
"Weerasekara I, Pathirana M, Kalhari R, et al ","The impact of the COVID-19 pandemic on suicidal attempts, death rate, and trends",PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=253347,,,development
"Bonardi O, Wang Y, Li K, et al.","Effects of COVID-19 Mental Health Interventions among Community-based Children, Adolescents, and Adults: A Living Systematic Review of Randomised Controlled Trials",medRxiv,https://www.medrxiv.org/content/10.1101/2021.05.04.21256517v1,,"To assess effects of mental health interventions for community-based children, adolescents, and adults.",preprint
"Aldien AS, Ganesan GS, Wahbeh F, et al.",Systemic inflammation may induce cardiac injury in COVID-19 patients including children and adolescents without underlying cardiovascular diseases: A systematic review,Cardiovasc Revasc Med,https://pubmed.ncbi.nlm.nih.gov/33952432/,Clinical Characteristics,To investigate the possible role of hyperinflammation in inducing cardiac injury as one of the severe complications of COVID-19.,published
"Mutiawati E, Syahrul S, Fahriani M, et al.",Global prevalence and pathogenesis of headache in COVID-19: A systematic review and meta-analysis,F1000Res,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8063523/,Clinical Characteristics,To determine the prevalence of headache in coronavirus disease 2019 (COVID-19) and to assess its association as a predictor for COVID-19.,published
"Lu Y, Zhao J, Ye M, et al.",The relationship between COVID-19's severity and ischemic stroke: a systematic review and meta-analysis,Neurol Sci,https://pubmed.ncbi.nlm.nih.gov/33954827/,Clinical Characteristics,To determine the risk of acute ischemic stroke in patients with severe and non-severe coronavirus disease 2019 (COVID-19).,published
"Rosenberger KJ, Xu C, Lin L",Methodological assessment of systematic reviews and meta-analyses on COVID-19: A meta-epidemiological study,J Eval Clin Pract,https://pubmed.ncbi.nlm.nih.gov/33955120/,,To methodologically assess the current systematic reviews and meta-analyses on COVID-19.,published
"Watt JA, Lane NE, Veroniki AA, et al.",Diagnostic accuracy of virtual cognitive assessment and testing: Systematic review and meta?analysis,J Am Geriatr Soc,https://pubmed.ncbi.nlm.nih.gov/33948937/,Diagnostics,To compare the diagnostic accuracy of virtual to in-person cognitive assessments and tests and barriers to virtual cognitive assessment implementation.,published
"Aladawi M, Elfil M, Abu-Esheh B, et al.",Guillain Barre Syndrome as a Complication of COVID-19: A Systematic Review,Can J Neurol Sci,https://pubmed.ncbi.nlm.nih.gov/33949300/,Clinical Characteristics,To review the evidence on the association between Guillain Barre Syndrome and COVID-19.,published
"Dembrovszky F, Váncsa S, Farkas N, et al.",Immunoglobulin Response and Prognostic Factors in Repeated SARS-CoV-2 Positive Patients: A Systematic Review and Meta-Analysis,Viruses,https://pubmed.ncbi.nlm.nih.gov/33946311/,Clinical Characteristics,To evaluate which prognostic factors may impact repeated SARS-CoV-2 positivity (RSP) and their association with immunoglobulin detectability among recovered patients. ,published
